,Line Name,dgfp_dt,p1,p2,p3,p4,p5
369,SP244-r3,180.5066287883454,3.0,11.0,16.0,20.0,30.0
370,SP245-r1,48.65197401040089,6.0,9.0,15.0,24.0,25.0
371,SP245-r2,38.80173644823841,6.0,9.0,15.0,24.0,25.0
372,SP247-r1,83.53057384160651,1.0,9.0,18.0,24.0,25.0
373,SP247-r2,76.8399800441558,1.0,9.0,18.0,24.0,25.0
374,SP247-r3,79.52639977851078,1.0,9.0,18.0,24.0,25.0
375,SP251-r1,146.38421860730367,2.0,9.0,17.0,22.0,27.0
376,SP251-r2,161.1342591378265,2.0,9.0,17.0,22.0,27.0
377,SP251-r3,180.8189026715291,2.0,9.0,17.0,22.0,27.0
378,SP252-r1,199.1062427565161,2.0,8.0,17.0,20.0,28.0
379,SP252-r2,204.97378585687835,2.0,8.0,17.0,20.0,28.0
380,SP252-r3,211.5634110452874,2.0,8.0,17.0,20.0,28.0
381,SP254-r1,165.1739689158994,1.0,9.0,13.0,21.0,30.0
382,SP254-r2,168.05456494787424,1.0,9.0,13.0,21.0,30.0
383,SP254-r3,171.17888972161722,1.0,9.0,13.0,21.0,30.0
384,SP255-r1,150.18442380232176,3.0,10.0,15.0,20.0,30.0
385,SP255-r2,148.9699327886934,3.0,10.0,15.0,20.0,30.0
386,SP255-r3,151.54327591211316,3.0,10.0,15.0,20.0,30.0
387,SP258-r1,203.8553769318084,2.0,11.0,17.0,22.0,30.0
388,SP258-r2,198.7638047991535,2.0,11.0,17.0,22.0,30.0
389,SP258-r3,198.3659336502174,2.0,11.0,17.0,22.0,30.0
390,SP259-r1,153.19513858266367,1.0,12.0,15.0,19.0,27.0
391,SP259-r2,142.29756845617786,1.0,12.0,15.0,19.0,27.0
392,SP259-r3,158.25875806001494,1.0,12.0,15.0,19.0,27.0
393,SP261-r1,220.48330737476763,2.0,8.0,16.0,21.0,30.0
394,SP261-r2,210.5652382036092,2.0,8.0,16.0,21.0,30.0
395,SP261-r3,204.67288529028042,2.0,8.0,16.0,21.0,30.0
396,SP262-r1,136.58881535753073,4.0,11.0,15.0,24.0,30.0
397,SP262-r2,149.88883762116143,4.0,11.0,15.0,24.0,30.0
398,SP262-r3,145.18559786379464,4.0,11.0,15.0,24.0,30.0
399,SP263-r1,217.6781738044083,6.0,8.0,17.0,24.0,29.0
400,SP263-r2,220.28084846939115,6.0,8.0,17.0,24.0,29.0
401,SP263-r3,219.0639283026338,6.0,8.0,17.0,24.0,29.0
402,SP264-r1,252.18783143588627,1.0,8.0,16.0,21.0,26.0
403,SP264-r2,227.4853578946494,1.0,8.0,16.0,21.0,26.0
404,SP264-r3,218.14078292104696,1.0,8.0,16.0,21.0,26.0
405,SP267-r1,205.2851964479049,5.0,9.0,13.0,24.0,30.0
406,SP267-r2,200.7610418555076,5.0,9.0,13.0,24.0,30.0
407,SP267-r3,172.6835301034628,5.0,9.0,13.0,24.0,30.0
408,SP269-r1,191.89708239249293,1.0,7.0,16.0,24.0,25.0
409,SP269-r2,203.98090677769147,1.0,7.0,16.0,24.0,25.0
410,SP269-r3,191.03399093106094,1.0,7.0,16.0,24.0,25.0
411,SP270-r1,104.66121007460951,2.0,10.0,15.0,21.0,30.0
412,SP270-r2,134.706720850578,2.0,10.0,15.0,21.0,30.0
413,SP270-r3,128.90832878635564,2.0,10.0,15.0,21.0,30.0
414,SP271-r1,265.42327534792696,6.0,8.0,16.0,19.0,29.0
415,SP271-r2,242.9733029139068,6.0,8.0,16.0,19.0,29.0
416,SP271-r3,258.560253680542,6.0,8.0,16.0,19.0,29.0
417,SP272-r1,196.21693436652595,3.0,11.0,17.0,24.0,25.0
418,SP272-r2,186.7891581424834,3.0,11.0,17.0,24.0,25.0
419,SP272-r3,203.35480941532316,3.0,11.0,17.0,24.0,25.0
420,SP276-r1,155.2854185453615,2.0,7.0,14.0,24.0,25.0
421,SP276-r2,131.55740788609722,2.0,7.0,14.0,24.0,25.0
422,SP276-r3,137.4152331753325,2.0,7.0,14.0,24.0,25.0
423,SP277-r1,228.11185530163965,6.0,9.0,17.0,22.0,29.0
424,SP277-r2,217.63596888854474,6.0,9.0,17.0,22.0,29.0
425,SP277-r3,214.29504808962722,6.0,9.0,17.0,22.0,29.0
426,SP279-r1,134.97918633492816,2.0,11.0,15.0,22.0,30.0
427,SP279-r2,152.72143559565023,2.0,11.0,15.0,22.0,30.0
428,SP279-r3,161.17822402539892,2.0,11.0,15.0,22.0,30.0
429,SP281-r1,186.14152228788015,1.0,12.0,16.0,24.0,26.0
430,SP281-r2,185.33055200758417,1.0,12.0,16.0,24.0,26.0
431,SP281-r3,188.06973823295877,1.0,12.0,16.0,24.0,26.0
432,SP282-r1,100.44543935716972,5.0,9.0,15.0,24.0,27.0
433,SP282-r2,121.44288278968408,5.0,9.0,15.0,24.0,27.0
434,SP282-r3,85.83451560387996,5.0,9.0,15.0,24.0,27.0
435,SP284-r1,69.04549588828074,3.0,11.0,13.0,20.0,27.0
436,SP284-r2,91.97411030370607,3.0,11.0,13.0,20.0,27.0
437,SP284-r3,83.22490468729129,3.0,11.0,13.0,20.0,27.0
438,SP287-r1,138.39196741861022,1.0,7.0,15.0,19.0,27.0
439,SP287-r2,150.72757105324874,1.0,7.0,15.0,19.0,27.0
440,SP287-r3,149.74279453125098,1.0,7.0,15.0,19.0,27.0
441,SP289-r1,117.96001192225407,2.0,10.0,15.0,19.0,29.0
442,SP289-r2,148.0225775399111,2.0,10.0,15.0,19.0,29.0
443,SP289-r3,134.99530988010548,2.0,10.0,15.0,19.0,29.0
444,SP291-r1,97.89307788750241,1.0,9.0,15.0,24.0,26.0
445,SP291-r2,125.35609515422335,1.0,9.0,15.0,24.0,26.0
446,SP291-r3,135.16533210732447,1.0,9.0,15.0,24.0,26.0
447,SP292-r1,213.29309952879612,3.0,11.0,17.0,23.0,30.0
448,SP292-r2,206.18726231158146,3.0,11.0,17.0,23.0,30.0
449,SP292-r3,204.4103487440207,3.0,11.0,17.0,23.0,30.0
450,SP296-r1,242.24693363303547,2.0,7.0,16.0,19.0,27.0
451,SP296-r2,230.41600614781007,2.0,7.0,16.0,19.0,27.0
452,SP296-r3,249.0046196486664,2.0,7.0,16.0,19.0,27.0
453,SP297-r1,153.28725909585495,4.0,7.0,15.0,24.0,26.0
454,SP297-r2,147.6402713699998,4.0,7.0,15.0,24.0,26.0
455,SP297-r3,144.77241605070725,4.0,7.0,15.0,24.0,26.0
456,SP298-r1,225.6124302419913,1.0,11.0,17.0,24.0,25.0
457,SP298-r2,193.99667817206677,1.0,11.0,17.0,24.0,25.0
458,SP298-r3,214.1567261384915,1.0,11.0,17.0,24.0,25.0
459,SP299-r1,195.34470640227354,4.0,7.0,16.0,19.0,25.0
460,SP299-r2,173.98097695622832,4.0,7.0,16.0,19.0,25.0
461,SP299-r3,195.84979987976774,4.0,7.0,16.0,19.0,25.0
462,SP309-r1,187.85260201247797,4.0,11.0,16.0,19.0,27.0
463,SP309-r2,176.16423428675213,4.0,11.0,16.0,19.0,27.0
464,SP309-r3,172.3113648137786,4.0,11.0,16.0,19.0,27.0
465,SP310-r1,208.15140624837989,4.0,12.0,17.0,21.0,26.0
466,SP310-r2,176.14311196721604,4.0,12.0,17.0,21.0,26.0
467,SP310-r3,173.0293093967966,4.0,12.0,17.0,21.0,26.0
468,SP315-r1,248.15194682569364,1.0,8.0,16.0,20.0,25.0
469,SP315-r2,243.56843567727583,1.0,8.0,16.0,20.0,25.0
470,SP315-r3,231.56888433525128,1.0,8.0,16.0,20.0,25.0
471,SP316-r1,195.34544619905304,4.0,11.0,13.0,19.0,30.0
472,SP316-r2,160.5921813958457,4.0,11.0,13.0,19.0,30.0
473,SP316-r3,138.74383546648227,4.0,11.0,13.0,19.0,30.0
474,SP318-r1,130.05989039393864,6.0,11.0,15.0,22.0,29.0
475,SP318-r2,119.56767239476,6.0,11.0,15.0,22.0,29.0
476,SP318-r3,110.60834052144895,6.0,11.0,15.0,22.0,29.0
477,SP319-r1,203.05245251077147,4.0,9.0,17.0,20.0,27.0
478,SP319-r2,201.8091415640728,4.0,9.0,17.0,20.0,27.0
479,SP319-r3,202.90868907621538,4.0,9.0,17.0,20.0,27.0
480,SP320-r1,137.76718021346983,5.0,11.0,15.0,19.0,29.0
481,SP320-r2,115.53480625963485,5.0,11.0,15.0,19.0,29.0
482,SP320-r3,124.66047783804457,5.0,11.0,15.0,19.0,29.0
483,SP321-r1,127.54248393266647,1.0,9.0,13.0,20.0,27.0
484,SP321-r2,126.39599873528947,1.0,9.0,13.0,20.0,27.0
485,SP321-r3,125.05222672995224,1.0,9.0,13.0,20.0,27.0
486,SP324-r1,224.65898263244856,3.0,10.0,16.0,20.0,29.0
487,SP324-r2,215.596316615209,3.0,10.0,16.0,20.0,29.0
488,SP324-r3,194.0842652803451,3.0,10.0,16.0,20.0,29.0
489,SP327-r1,231.43017851661483,6.0,9.0,13.0,20.0,25.0
490,SP327-r2,218.28099818867454,6.0,9.0,13.0,20.0,25.0
491,SP327-r3,195.97479140130906,6.0,9.0,13.0,20.0,25.0
492,SP330-r1,247.8987678072058,2.0,7.0,16.0,20.0,29.0
493,SP330-r2,232.70229375469606,2.0,7.0,16.0,20.0,29.0
494,SP330-r3,201.04897362675842,2.0,7.0,16.0,20.0,29.0
495,SP334-r1,116.6456323176963,1.0,10.0,15.0,20.0,26.0
496,SP334-r2,129.72537817174253,1.0,10.0,15.0,20.0,26.0
497,SP334-r3,148.75524905322362,1.0,10.0,15.0,20.0,26.0
498,SP335-r1,117.37500885841537,3.0,9.0,15.0,22.0,27.0
499,SP335-r2,126.14856623109335,3.0,9.0,15.0,22.0,27.0
500,SP335-r3,131.42125478665207,3.0,9.0,15.0,22.0,27.0
501,SP338-r1,181.84971571869661,1.0,9.0,17.0,20.0,27.0
502,SP338-r2,183.2171257350664,1.0,9.0,17.0,20.0,27.0
503,SP338-r3,189.5433437018361,1.0,9.0,17.0,20.0,27.0
504,SP341-r1,134.7535834023533,4.0,12.0,13.0,24.0,28.0
505,SP341-r2,116.58847013173738,4.0,12.0,13.0,24.0,28.0
506,SP341-r3,124.16844285688448,4.0,12.0,13.0,24.0,28.0
507,SP342-r1,249.8670730986557,3.0,9.0,13.0,19.0,25.0
508,SP342-r2,194.21533080006142,3.0,9.0,13.0,19.0,25.0
509,SP342-r3,200.6892108483516,3.0,9.0,13.0,19.0,25.0
510,SP344-r1,217.9856059924504,3.0,7.0,17.0,20.0,30.0
511,SP344-r2,202.74706652639546,3.0,7.0,17.0,20.0,30.0
512,SP344-r3,187.92564870372908,3.0,7.0,17.0,20.0,30.0
513,SP345-r1,128.66845141447956,5.0,7.0,15.0,22.0,29.0
514,SP345-r2,155.77789427804007,5.0,7.0,15.0,22.0,29.0
515,SP345-r3,158.3403080636701,5.0,7.0,15.0,22.0,29.0
516,SP347-r1,112.23193441939175,6.0,9.0,15.0,20.0,30.0
517,SP347-r2,126.20029727409343,6.0,9.0,15.0,20.0,30.0
518,SP347-r3,138.83336749383383,6.0,9.0,15.0,20.0,30.0
519,SP348-r1,208.67730421402453,4.0,8.0,13.0,19.0,26.0
520,SP348-r2,178.3789749584618,4.0,8.0,13.0,19.0,26.0
521,SP348-r3,171.92434193705404,4.0,8.0,13.0,19.0,26.0
522,SP349-r1,141.89974914624608,1.0,12.0,13.0,21.0,25.0
523,SP349-r2,126.58455732229955,1.0,12.0,13.0,21.0,25.0
524,SP349-r3,121.63406318519812,1.0,12.0,13.0,21.0,25.0
525,SP350-r1,278.2661734737561,1.0,9.0,13.0,21.0,29.0
526,SP350-r2,155.8309215875312,1.0,9.0,13.0,21.0,29.0
527,SP350-r3,51.04912321546004,1.0,9.0,13.0,21.0,29.0
528,SP354-r1,69.0478043155396,4.0,8.0,13.0,20.0,27.0
529,SP354-r2,120.68174701291028,4.0,8.0,13.0,20.0,27.0
530,SP354-r3,171.15918369440843,4.0,8.0,13.0,20.0,27.0
531,SP357-r1,161.92752154045846,6.0,7.0,17.0,24.0,27.0
532,SP357-r2,163.01671123088016,6.0,7.0,17.0,24.0,27.0
533,SP357-r3,139.2515286516621,6.0,7.0,17.0,24.0,27.0
534,SP358-r1,181.64561822158282,5.0,9.0,13.0,21.0,25.0
535,SP358-r2,158.81508230578598,5.0,9.0,13.0,21.0,25.0
536,SP358-r3,166.42598680331537,5.0,9.0,13.0,21.0,25.0
537,SP359-r1,189.09844519235136,1.0,8.0,16.0,24.0,25.0
538,SP359-r2,185.3811125469226,1.0,8.0,16.0,24.0,25.0
539,SP359-r3,188.39546777267955,1.0,8.0,16.0,24.0,25.0
540,SP360-r1,158.5777349150622,2.0,8.0,15.0,23.0,25.0
541,SP360-r2,167.43924093508673,2.0,8.0,15.0,23.0,25.0
542,SP360-r3,172.03196474788882,2.0,8.0,15.0,23.0,25.0
543,SP361-r1,149.8620794428771,1.0,11.0,17.0,20.0,27.0
544,SP361-r2,153.51631185608647,1.0,11.0,17.0,20.0,27.0
545,SP361-r3,127.43304533372414,1.0,11.0,17.0,20.0,27.0
546,SP363-r1,167.5266152872496,4.0,9.0,16.0,19.0,29.0
547,SP363-r2,178.1066702198834,4.0,9.0,16.0,19.0,29.0
548,SP363-r3,168.2274263024846,4.0,9.0,16.0,19.0,29.0
549,SP364-r1,49.231573005044325,5.0,11.0,13.0,23.0,27.0
550,SP364-r2,68.75238993056071,5.0,11.0,13.0,23.0,27.0
551,SP364-r3,72.00182866816493,5.0,11.0,13.0,23.0,27.0
552,SP365-r1,147.36466579758408,4.0,12.0,15.0,20.0,26.0
553,SP365-r2,227.14178027499057,4.0,12.0,15.0,20.0,26.0
554,SP365-r3,166.80261119106922,4.0,12.0,15.0,20.0,26.0
555,SP366-r1,187.13592401624686,1.0,8.0,17.0,22.0,27.0
556,SP366-r2,176.003659968381,1.0,8.0,17.0,22.0,27.0
557,SP366-r3,173.10803908135026,1.0,8.0,17.0,22.0,27.0
558,SP367-r1,67.62548003812904,1.0,9.0,15.0,19.0,27.0
559,SP367-r2,60.837591578669546,1.0,9.0,15.0,19.0,27.0
560,SP367-r3,53.786436340046926,1.0,9.0,15.0,19.0,27.0
561,SP369-r1,264.7752167563802,2.0,8.0,17.0,19.0,25.0
562,SP369-r2,221.60774261197832,2.0,8.0,17.0,19.0,25.0
563,SP369-r3,240.6299865739879,2.0,8.0,17.0,19.0,25.0
564,SP370-r1,229.54903370852313,3.0,11.0,16.0,24.0,26.0
565,SP370-r2,194.20987899210684,3.0,11.0,16.0,24.0,26.0
566,SP370-r3,220.87890701633953,3.0,11.0,16.0,24.0,26.0
567,SP371-r1,246.27168736659715,5.0,10.0,13.0,21.0,25.0
568,SP371-r2,193.79538785000938,5.0,10.0,13.0,21.0,25.0
569,SP371-r3,193.51015029957136,5.0,10.0,13.0,21.0,25.0
570,SP375-r1,205.79434505783016,5.0,11.0,16.0,19.0,30.0
571,SP375-r2,189.93892084145062,5.0,11.0,16.0,19.0,30.0
572,SP375-r3,183.43184675429225,5.0,11.0,16.0,19.0,30.0
573,SP376-r1,129.02234543187927,2.0,11.0,15.0,19.0,25.0
574,SP376-r2,126.19525517467417,2.0,11.0,15.0,19.0,25.0
575,SP376-r3,123.96822958504244,2.0,11.0,15.0,19.0,25.0
576,SP378-r1,175.9404403563972,5.0,8.0,15.0,21.0,29.0
577,SP378-r2,140.2028194690766,5.0,8.0,15.0,21.0,29.0
578,SP378-r3,148.60114969774247,5.0,8.0,15.0,21.0,29.0
579,SP379-r1,106.29040850648104,6.0,11.0,15.0,23.0,26.0
580,SP379-r2,115.0002555453982,6.0,11.0,15.0,23.0,26.0
581,SP379-r3,125.82913104767492,6.0,11.0,15.0,23.0,26.0
582,SP380-r1,193.13765705423575,1.0,11.0,13.0,19.0,27.0
583,SP380-r2,116.41280168859399,1.0,11.0,13.0,19.0,27.0
584,SP380-r3,122.73551027545795,1.0,11.0,13.0,19.0,27.0
585,SP382-r1,171.2892694809099,4.0,8.0,15.0,22.0,27.0
586,SP382-r2,129.5032479288061,4.0,8.0,15.0,22.0,27.0
587,SP382-r3,164.92379920838812,4.0,8.0,15.0,22.0,27.0
588,SP385-r1,90.73325668312317,2.0,10.0,18.0,24.0,30.0
589,SP385-r2,94.11439526210786,2.0,10.0,18.0,24.0,30.0
590,SP385-r3,99.43976914526579,2.0,10.0,18.0,24.0,30.0
591,SP386-r1,211.09035750846482,1.0,11.0,16.0,22.0,30.0
592,SP386-r2,206.17980188985484,1.0,11.0,16.0,22.0,30.0
593,SP386-r3,243.11549715867335,1.0,11.0,16.0,22.0,30.0
594,SP389-r1,173.78096896350365,2.0,7.0,17.0,19.0,27.0
595,SP389-r2,174.328081669347,2.0,7.0,17.0,19.0,27.0
596,SP389-r3,196.25759470467193,2.0,7.0,17.0,19.0,27.0
597,SP390-r1,123.78687135655072,1.0,11.0,13.0,20.0,26.0
598,SP390-r2,133.12292576173758,1.0,11.0,13.0,20.0,26.0
599,SP390-r3,130.21633208559757,1.0,11.0,13.0,20.0,26.0
600,SP391-r1,206.51751962980592,4.0,11.0,17.0,22.0,30.0
601,SP391-r2,194.21109369704817,4.0,11.0,17.0,22.0,30.0
602,SP391-r3,188.8710926181673,4.0,11.0,17.0,22.0,30.0
603,SP393-r1,120.9298271426925,2.0,7.0,15.0,21.0,30.0
604,SP393-r2,129.35129680521635,2.0,7.0,15.0,21.0,30.0
605,SP393-r3,124.16696173477857,2.0,7.0,15.0,21.0,30.0
606,SP394-r1,103.33621626032871,4.0,11.0,15.0,22.0,28.0
607,SP394-r2,112.63898178200206,4.0,11.0,15.0,22.0,28.0
608,SP394-r3,99.94922491390969,4.0,11.0,15.0,22.0,28.0
609,SP401-r1,111.5511278077427,1.0,9.0,15.0,21.0,27.0
610,SP401-r2,138.2907952980637,1.0,9.0,15.0,21.0,27.0
611,SP401-r3,138.78350197693032,1.0,9.0,15.0,21.0,27.0
612,SP402-r1,224.72160686097612,4.0,8.0,16.0,20.0,30.0
613,SP402-r2,191.84532514425564,4.0,8.0,16.0,20.0,30.0
614,SP402-r3,186.27766938672417,4.0,8.0,16.0,20.0,30.0
615,SP403-r1,129.66397761740862,1.0,10.0,13.0,19.0,27.0
616,SP403-r2,126.33246840447403,1.0,10.0,13.0,19.0,27.0
617,SP403-r3,148.60227542571405,1.0,10.0,13.0,19.0,27.0
618,SP404-r1,218.70722791640043,3.0,7.0,13.0,22.0,29.0
619,SP404-r2,180.52854492613167,3.0,7.0,13.0,22.0,29.0
620,SP404-r3,202.5359478741988,3.0,7.0,13.0,22.0,29.0
621,SP405-r1,214.7903671394723,6.0,8.0,17.0,24.0,26.0
622,SP405-r2,218.4245341863442,6.0,8.0,17.0,24.0,26.0
623,SP405-r3,202.42440231441068,6.0,8.0,17.0,24.0,26.0
624,SP406-r1,151.05401156369436,1.0,11.0,13.0,20.0,30.0
625,SP406-r2,113.05018831158328,1.0,11.0,13.0,20.0,30.0
626,SP406-r3,138.030374496594,1.0,11.0,13.0,20.0,30.0
627,SP408-r1,159.83918299812734,4.0,9.0,13.0,19.0,27.0
628,SP408-r2,200.09724669870067,4.0,9.0,13.0,19.0,27.0
629,SP408-r3,189.48042243126415,4.0,9.0,13.0,19.0,27.0
630,SP409-r1,173.79591910993693,1.0,9.0,13.0,20.0,29.0
631,SP409-r2,135.23574854636777,1.0,9.0,13.0,20.0,29.0
632,SP409-r3,142.18124291970648,1.0,9.0,13.0,20.0,29.0
633,SP410-r1,238.74532227724598,5.0,8.0,16.0,19.0,25.0
634,SP410-r2,220.44761910026205,5.0,8.0,16.0,19.0,25.0
635,SP410-r3,233.79038128826465,5.0,8.0,16.0,19.0,25.0
636,SP412-r1,177.40273470474847,1.0,7.0,13.0,24.0,25.0
637,SP412-r2,154.80975555799677,1.0,7.0,13.0,24.0,25.0
638,SP412-r3,157.29888893255244,1.0,7.0,13.0,24.0,25.0
639,SP413-r1,119.08833853097563,3.0,9.0,15.0,22.0,26.0
640,SP413-r2,142.01120699837702,3.0,9.0,15.0,22.0,26.0
641,SP413-r3,136.90183209759607,3.0,9.0,15.0,22.0,26.0
642,SP414-r1,214.74746563549232,1.0,9.0,14.0,23.0,30.0
643,SP414-r2,170.60399053571942,1.0,9.0,14.0,23.0,30.0
644,SP414-r3,169.96586619500195,1.0,9.0,14.0,23.0,30.0
645,SP416-r1,204.61715223967425,6.0,12.0,16.0,23.0,30.0
646,SP416-r2,190.14776565611209,6.0,12.0,16.0,23.0,30.0
647,SP416-r3,221.16535548741544,6.0,12.0,16.0,23.0,30.0
648,SP417-r1,144.4929111161445,3.0,7.0,13.0,19.0,30.0
649,SP417-r2,111.54493445529079,3.0,7.0,13.0,19.0,30.0
650,SP417-r3,113.50508060673222,3.0,7.0,13.0,19.0,30.0
651,SP419-r1,152.43342330679786,3.0,7.0,15.0,21.0,29.0
652,SP419-r2,146.63005357189834,3.0,7.0,15.0,21.0,29.0
653,SP419-r3,129.26727951094108,3.0,7.0,15.0,21.0,29.0
654,SP420-r1,173.1788555963867,2.0,11.0,13.0,24.0,26.0
655,SP420-r2,172.3370070741674,2.0,11.0,13.0,24.0,26.0
656,SP420-r3,156.47556145477446,2.0,11.0,13.0,24.0,26.0
657,SP422-r1,158.0283312791391,3.0,11.0,13.0,20.0,25.0
658,SP422-r2,157.86869860049944,3.0,11.0,13.0,20.0,25.0
659,SP422-r3,163.13627033256904,3.0,11.0,13.0,20.0,25.0
660,SP423-r1,104.41464284722339,4.0,11.0,13.0,24.0,29.0
661,SP423-r2,106.69403580924018,4.0,11.0,13.0,24.0,29.0
662,SP423-r3,110.57111997634223,4.0,11.0,13.0,24.0,29.0
663,SP424-r1,198.54048057484957,1.0,11.0,16.0,20.0,30.0
664,SP424-r2,195.40597124052348,1.0,11.0,16.0,20.0,30.0
665,SP424-r3,182.8322486659814,1.0,11.0,16.0,20.0,30.0
666,SP425-r1,170.3883962791498,5.0,9.0,16.0,20.0,30.0
667,SP425-r2,173.2140188045123,5.0,9.0,16.0,20.0,30.0
668,SP425-r3,168.7307162484955,5.0,9.0,16.0,20.0,30.0
669,SP426-r1,115.92751315876045,1.0,9.0,15.0,20.0,26.0
670,SP426-r2,133.55848188717414,1.0,9.0,15.0,20.0,26.0
671,SP426-r3,123.33835977356145,1.0,9.0,15.0,20.0,26.0
672,SP427-r1,68.94641567226263,4.0,7.0,13.0,23.0,29.0
673,SP427-r2,84.60438817033116,4.0,7.0,13.0,23.0,29.0
674,SP427-r3,87.10962345611156,4.0,7.0,13.0,23.0,29.0
675,SP428-r1,78.6617370245005,1.0,9.0,15.0,20.0,25.0
676,SP428-r2,80.83613373727236,1.0,9.0,15.0,20.0,25.0
677,SP428-r3,76.05077179422734,1.0,9.0,15.0,20.0,25.0
678,SP429-r1,90.1093120810667,2.0,9.0,15.0,22.0,25.0
679,SP429-r2,94.46555174842904,2.0,9.0,15.0,22.0,25.0
680,SP429-r3,84.43569796923204,2.0,9.0,15.0,22.0,25.0
681,SP430-r1,189.19131161404587,1.0,11.0,16.0,23.0,26.0
682,SP430-r2,162.6268247409441,1.0,11.0,16.0,23.0,26.0
683,SP430-r3,172.7605868130322,1.0,11.0,16.0,23.0,26.0
684,SP433-r1,190.50948380726533,5.0,9.0,13.0,20.0,25.0
685,SP433-r2,202.63616208062305,5.0,9.0,13.0,20.0,25.0
686,SP433-r3,224.89408804029324,5.0,9.0,13.0,20.0,25.0
687,SP434-r1,168.85108515646326,4.0,9.0,17.0,23.0,25.0
688,SP434-r2,155.4223023316774,4.0,9.0,17.0,23.0,25.0
689,SP434-r3,156.36905582698725,4.0,9.0,17.0,23.0,25.0
690,SP435-r1,168.1321888641958,6.0,7.0,17.0,24.0,27.0
691,SP435-r2,168.6000371709745,6.0,7.0,17.0,24.0,27.0
692,SP435-r3,182.6194431577185,6.0,7.0,17.0,24.0,27.0
693,SP436-r1,89.81458896460609,6.0,8.0,13.0,19.0,29.0
694,SP436-r2,99.67970003001729,6.0,8.0,13.0,19.0,29.0
695,SP436-r3,127.77920771017807,6.0,8.0,13.0,19.0,29.0
696,SP437-r1,191.1401336253559,3.0,10.0,17.0,21.0,26.0
697,SP437-r2,190.5216601336306,3.0,10.0,17.0,21.0,26.0
698,SP437-r3,187.78197460166865,3.0,10.0,17.0,21.0,26.0
699,SP438-r1,195.1485829943106,5.0,10.0,17.0,19.0,30.0
700,SP438-r2,184.85971229541772,5.0,10.0,17.0,19.0,30.0
701,SP438-r3,172.67945266859107,5.0,10.0,17.0,19.0,30.0
702,SP439-r1,193.39768397258013,5.0,9.0,14.0,23.0,26.0
703,SP439-r2,191.177683517858,5.0,9.0,14.0,23.0,26.0
704,SP439-r3,165.28651055833885,5.0,9.0,14.0,23.0,26.0
705,SP440-r1,155.23819829227864,1.0,9.0,16.0,23.0,26.0
706,SP440-r2,155.41961924457064,1.0,9.0,16.0,23.0,26.0
707,SP440-r3,137.16709016851348,1.0,9.0,16.0,23.0,26.0
708,SP441-r1,148.1435639731165,5.0,11.0,17.0,22.0,27.0
709,SP441-r2,150.70288507592835,5.0,11.0,17.0,22.0,27.0
710,SP441-r3,160.17772888225352,5.0,11.0,17.0,22.0,27.0
711,SP444-r1,190.26817604798748,3.0,10.0,13.0,19.0,30.0
712,SP444-r2,192.1859843987279,3.0,10.0,13.0,19.0,30.0
713,SP444-r3,181.92044192364648,3.0,10.0,13.0,19.0,30.0
714,SP446-r1,185.2581501031776,1.0,12.0,16.0,19.0,27.0
715,SP446-r2,172.89616554416108,1.0,12.0,16.0,19.0,27.0
716,SP446-r3,196.8437403415714,1.0,12.0,16.0,19.0,27.0
717,SP448-r1,159.71024242494423,4.0,11.0,13.0,21.0,26.0
718,SP448-r2,162.52658723826409,4.0,11.0,13.0,21.0,26.0
719,SP448-r3,153.26106968755758,4.0,11.0,13.0,21.0,26.0
720,SP451-r1,53.31959053287848,5.0,11.0,13.0,20.0,27.0
721,SP451-r3,57.186812794632246,5.0,11.0,13.0,20.0,27.0
722,SP452-r1,170.36853362609742,1.0,8.0,13.0,20.0,28.0
723,SP452-r2,142.8231187009621,1.0,8.0,13.0,20.0,28.0
724,SP452-r3,136.91344592329935,1.0,8.0,13.0,20.0,28.0
725,SP453-r1,66.69339760576192,2.0,11.0,13.0,22.0,27.0
726,SP453-r2,75.59735464680355,2.0,11.0,13.0,22.0,27.0
727,SP453-r3,79.31356449859159,2.0,11.0,13.0,22.0,27.0
728,SP454-r1,162.98593005953788,5.0,12.0,15.0,21.0,25.0
729,SP454-r2,125.76363805371821,5.0,12.0,15.0,21.0,25.0
730,SP454-r3,136.66462696098986,5.0,12.0,15.0,21.0,25.0
731,SP458-r1,138.9146400242225,2.0,11.0,15.0,24.0,26.0
732,SP458-r2,144.3552412720436,2.0,11.0,15.0,24.0,26.0
733,SP458-r3,123.29201395422301,2.0,11.0,15.0,24.0,26.0
734,SP459-r1,152.65000671500977,4.0,8.0,13.0,19.0,29.0
735,SP459-r2,140.14751859905203,4.0,8.0,13.0,19.0,29.0
736,SP459-r3,152.91411473114567,4.0,8.0,13.0,19.0,29.0
737,SP461-r1,162.42393696485934,2.0,10.0,16.0,19.0,26.0
738,SP461-r2,155.5287076337916,2.0,10.0,16.0,19.0,26.0
739,SP461-r3,157.57327663545155,2.0,10.0,16.0,19.0,26.0
740,SP462-r1,123.0306264787588,3.0,11.0,13.0,22.0,30.0
741,SP462-r2,100.79037136699921,3.0,11.0,13.0,22.0,30.0
742,SP462-r3,112.72035016402991,3.0,11.0,13.0,22.0,30.0
743,SP463-r1,127.74281288033251,3.0,7.0,13.0,22.0,30.0
744,SP463-r2,116.80048910092283,3.0,7.0,13.0,22.0,30.0
745,SP463-r3,125.23154707054543,3.0,7.0,13.0,22.0,30.0
