,Line Name,dgfp_dt,p1,p2,p3,p4,p5
85,SP058-r2,121.54980579728647,1.0,8.0,13.0,21.0,25.0
86,SP058-r3,120.78811714313392,1.0,8.0,13.0,21.0,25.0
87,SP062-r1,133.5255220012467,3.0,8.0,15.0,20.0,29.0
88,SP062-r2,123.59799811665995,3.0,8.0,15.0,20.0,29.0
89,SP062-r3,181.07257967678032,3.0,8.0,15.0,20.0,29.0
90,SP063-r1,165.1777337345008,4.0,8.0,13.0,24.0,26.0
91,SP063-r2,174.2881692138031,4.0,8.0,13.0,24.0,26.0
92,SP063-r3,160.6372087938764,4.0,8.0,13.0,24.0,26.0
93,SP064-r1,134.24962948756473,1.0,10.0,15.0,24.0,30.0
94,SP064-r2,147.09147931499237,1.0,10.0,15.0,24.0,30.0
95,SP064-r3,152.65191933257972,1.0,10.0,15.0,24.0,30.0
96,SP065-r1,90.87482764318287,2.0,8.0,15.0,19.0,29.0
97,SP065-r2,108.18295694774113,2.0,8.0,15.0,19.0,29.0
98,SP065-r3,118.96294427630829,2.0,8.0,15.0,19.0,29.0
99,SP066-r1,104.15294640357276,6.0,12.0,15.0,19.0,28.0
100,SP066-r2,128.49861791523287,6.0,12.0,15.0,19.0,28.0
101,SP066-r3,157.08439216753965,6.0,12.0,15.0,19.0,28.0
102,SP069-r1,79.98882835422908,1.0,11.0,13.0,24.0,27.0
103,SP069-r2,110.54678014208896,1.0,11.0,13.0,24.0,27.0
104,SP069-r3,83.02864958291786,1.0,11.0,13.0,24.0,27.0
105,SP071-r1,162.04265068679348,6.0,8.0,13.0,22.0,25.0
106,SP071-r2,156.45715275134899,6.0,8.0,13.0,22.0,25.0
107,SP071-r3,150.0307730029408,6.0,8.0,13.0,22.0,25.0
108,SP072-r1,74.60351805476988,1.0,9.0,15.0,22.0,27.0
109,SP072-r2,94.67687465119273,1.0,9.0,15.0,22.0,27.0
110,SP072-r3,64.78142682738783,1.0,9.0,15.0,22.0,27.0
111,SP074-r1,159.55136716003105,4.0,8.0,15.0,24.0,29.0
112,SP074-r2,185.91003748481057,4.0,8.0,15.0,24.0,29.0
113,SP074-r3,172.5429196815154,4.0,8.0,15.0,24.0,29.0
114,SP076-r1,157.58648714523687,5.0,11.0,13.0,24.0,26.0
115,SP076-r2,157.11393464970953,5.0,11.0,13.0,24.0,26.0
116,SP076-r3,141.99661281074947,5.0,11.0,13.0,24.0,26.0
117,SP079-r1,142.23214180589514,2.0,8.0,15.0,21.0,26.0
118,SP079-r2,177.74691151836544,2.0,8.0,15.0,21.0,26.0
119,SP079-r3,174.43406522992453,2.0,8.0,15.0,21.0,26.0
120,SP081-r1,114.5310230643401,2.0,7.0,15.0,21.0,30.0
121,SP081-r2,123.78349288091513,2.0,7.0,15.0,21.0,30.0
122,SP081-r3,144.4696235219985,2.0,7.0,15.0,21.0,30.0
123,SP082-r1,110.11009044826845,6.0,10.0,15.0,22.0,30.0
124,SP082-r2,111.70359991642819,6.0,10.0,15.0,22.0,30.0
125,SP082-r3,120.77339999270441,6.0,10.0,15.0,22.0,30.0
126,SP083-r1,194.9454213906346,3.0,12.0,16.0,20.0,25.0
127,SP083-r2,194.08234530735436,3.0,12.0,16.0,20.0,25.0
128,SP083-r3,223.48855189074013,3.0,12.0,16.0,20.0,25.0
129,SP087-r1,114.16709936798821,2.0,10.0,15.0,19.0,29.0
130,SP087-r2,132.50560752140268,2.0,10.0,15.0,19.0,29.0
131,SP087-r3,136.2027601923646,2.0,10.0,15.0,19.0,29.0
132,SP088-r1,178.27889421301953,5.0,11.0,16.0,24.0,25.0
133,SP088-r2,186.45080066504644,5.0,11.0,16.0,24.0,25.0
134,SP088-r3,183.13390287806428,5.0,11.0,16.0,24.0,25.0
135,SP091-r1,126.52656106408378,1.0,7.0,15.0,21.0,30.0
136,SP091-r2,154.5420276061199,1.0,7.0,15.0,21.0,30.0
137,SP091-r3,155.06639473027408,1.0,7.0,15.0,21.0,30.0
138,SP093-r1,182.0770849633497,3.0,11.0,13.0,19.0,26.0
139,SP093-r2,173.73479522180565,3.0,11.0,13.0,19.0,26.0
140,SP093-r3,178.37847543791852,3.0,11.0,13.0,19.0,26.0
141,SP094-r1,156.86949669874315,4.0,8.0,15.0,23.0,29.0
142,SP094-r2,145.9842180946312,4.0,8.0,15.0,23.0,29.0
143,SP094-r3,164.07838527852368,4.0,8.0,15.0,23.0,29.0
144,SP097-r1,149.19942113039968,6.0,9.0,16.0,22.0,25.0
145,SP097-r2,162.2576090621553,6.0,9.0,16.0,22.0,25.0
146,SP097-r3,178.3754440856373,6.0,9.0,16.0,22.0,25.0
147,SP098-r1,65.18208455710948,5.0,11.0,13.0,19.0,27.0
148,SP098-r2,79.29063995738883,5.0,11.0,13.0,19.0,27.0
149,SP098-r3,79.99526038417785,5.0,11.0,13.0,19.0,27.0
150,SP100-r1,155.24370330677752,2.0,10.0,16.0,19.0,26.0
151,SP100-r2,159.97854530632387,2.0,10.0,16.0,19.0,26.0
152,SP100-r3,148.95770601694034,2.0,10.0,16.0,19.0,26.0
153,SP105-r1,117.65500988797665,2.0,10.0,18.0,21.0,27.0
154,SP105-r2,120.92866222306792,2.0,10.0,18.0,21.0,27.0
155,SP105-r3,101.01517822094188,2.0,10.0,18.0,21.0,27.0
156,SP107-r1,58.91922325373843,2.0,12.0,18.0,22.0,30.0
157,SP107-r2,68.96125339674886,2.0,12.0,18.0,22.0,30.0
158,SP107-r3,70.37929480093749,2.0,12.0,18.0,22.0,30.0
159,SP108-r1,115.24735221473794,1.0,10.0,18.0,21.0,26.0
160,SP108-r2,120.6506658273061,1.0,10.0,18.0,21.0,26.0
