Line Name,Measurement Type,Value,ACCOAC,MDH,PTAr,CS,ACACT1r,PPC,PPCK,PFL
Strain 64,CID:12988,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0
Strain 65,CID:12988,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
Strain 66,CID:12988,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0
Strain 67,CID:12988,0.572648372306498,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
Strain 68,CID:12988,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
Strain 69,CID:12988,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0
Strain 70,CID:12988,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
Strain 71,CID:12988,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0
Strain 72,CID:12988,0.3672103762119569,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
Strain 73,CID:12988,0.1098072119812518,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0
Strain 74,CID:12988,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
Strain 75,CID:12988,0.109807185051804,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0
Strain 76,CID:12988,0.085733354752495,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Strain 77,CID:12988,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0
Strain 78,CID:12988,0.4529176751570443,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0
Strain 79,CID:12988,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Strain 80,CID:12988,0.4964245287395541,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
Strain 81,CID:12988,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Strain 82,CID:12988,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Strain 83,CID:12988,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
Strain 84,CID:12988,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0
Strain 85,CID:12988,0.4134093536602075,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0
Strain 86,CID:12988,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
Strain 87,CID:12988,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
Strain 88,CID:12988,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
Strain 89,CID:12988,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0
Strain 90,CID:12988,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0
Strain 91,CID:12988,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Strain 92,CID:12988,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
Strain 93,CID:12988,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Strain 94,CID:12988,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0
Strain 95,CID:12988,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0
WT,CID:12988,0.4618800088709471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
